Date Created: 20260618
Analysis: For RPR
Purposes:
     to prepare analyzed data for reporting on RPR June 2026

Picked: [raw_tiff_name, paired_abf]
[2025_10_13-0007.tif, 2025_10_13_0008.abf]
[2025_10_13-0010.tif, 2025_10_13_0011.abf]
[2025_10_13-0011.tif, 2025_10_13_0012.abf]
[2025_10_13-0013.tif, 2025_10_13_0014.abf]
[2025_10_13-0016.tif, 2025_10_13_0017.abf]
[2025_10_13-0017.tif, 2025_10_13_0018.abf]
[2025_10_13-0028.tif, 2025_10_13_0025.abf]
[2025_10_13-0029.tif, 2025_10_13_0026.abf]
[2025_10_13-0030.tif, 2025_10_13_0027.abf]
[2025_10_13-0032.tif, 2025_10_13_0029.abf]
[2025_10_13-0035.tif, 2025_10_13_0032.abf]
[2025_11_08-0018.tif, 2025_11_08_0006.abf]
[2025_11_08-0019.tif, 2025_11_08_0007.abf]
[2025_11_08-0020.tif, 2025_11_08_0008.abf]
[2025_11_08-0026.tif, 2025_11_08_0012.abf]
[2025_11_08-0027.tif, 2025_11_08_0013.abf]
[2025_11_08-0028.tif, 2025_11_08_0014.abf]
[2025_11_08-0029.tif, 2025_11_08_0015.abf]
[2025_11_08-0032.tif, 2025_11_08_0016.abf]
[2025_11_08-0033.tif, 2025_11_08_0017.abf]
[2025_11_08-0034.tif, 2025_11_08_0018.abf]
[2025_11_08-0035.tif, 2025_11_08_0019.abf]
[2025_11_13-0009.tif, 2025_11_13_0004.abf]
[2025_11_13-0010.tif, 2025_11_13_0005.abf]
[2025_11_13-0011.tif, 2025_11_13_0006.abf]
[2025_11_13-0012.tif, 2025_11_13_0007.abf]
[2025_11_13-0013.tif, 2025_11_13_0008.abf]
[2025_11_13-0017.tif, 2025_11_13_0011.abf]
[2025_11_13-0018.tif, 2025_11_13_0012.abf]
[2025_11_13-0019.tif, 2025_11_13_0013.abf]
[2025_11_13-0022.tif, 2025_11_13_0016.abf]
[2025_11_13-0023.tif, 2025_11_13_0017.abf]
[2025_11_13-0024.tif, 2025_11_13_0018.abf]
[2025_11_13-0026.tif, 2025_11_13_0020.abf]
[2025_11_13-0035.tif, 2025_11_13_0023.abf]
[2025_11_13-0037.tif, 2025_11_13_0025.abf]
[2025_11_13-0038.tif, 2025_11_13_0026.abf]
[2025_11_13-0040.tif, 2025_11_13_0028.abf]
[2025_11_13-0041.tif, 2025_11_13_0029.abf]
[2025_11_13-0042.tif, 2025_11_13_0030.abf]
[2025_11_13-0043.tif, 2025_11_13_0031.abf]
[2025_11_27-0005.tif, 2025_11_27_0004.abf]
[2025_11_27-0007.tif, 2025_11_27_0006.abf]
[2025_11_27-0008.tif, 2025_11_27_0007.abf]
[2025_11_27-0009.tif, 2025_11_27_0008.abf]
[2025_11_27-0010.tif, 2025_11_27_0009.abf]
[2025_11_27-0011.tif, 2025_11_27_0011.abf]
[2025_11_27-0021.tif, 2025_11_27_0015.abf]
[2025_11_27-0026.tif, 2025_11_27_0017.abf]
[2025_11_27-0027.tif, 2025_11_27_0018.abf]
[2025_11_27-0028.tif, 2025_11_27_0019.abf]
[2025_11_27-0033.tif, 2025_11_27_0021.abf]
[2025_11_27-0034.tif, 2025_11_27_0022.abf]
[2025_11_27-0035.tif, 2025_11_27_0023.abf]
[2025_11_27-0036.tif, 2025_11_27_0024.abf]
[2025_12_14-0002.tif, 2025_12_14_0002.abf]
[2025_12_14-0005.tif, 2025_12_14_0005.abf]
[2025_12_14-0008.tif, 2025_12_14_0006.abf]
[2025_12_14-0009.tif, 2025_12_14_0007.abf]
[2025_12_14-0014.tif, 2025_12_14_0011.abf]
[2025_12_14-0015.tif, 2025_12_14_0012.abf]
[2025_12_14-0016.tif, 2025_12_14_0013.abf]
[2025_12_14-0020.tif, 2025_12_14_0017.abf]
[2025_12_14-0021.tif, 2025_12_14_0018.abf]
[2025_12_14-0022.tif, 2025_12_14_0020.abf]
[2025_12_14-0023.tif, 2025_12_14_0021.abf]
[2025_12_14-0029.tif, 2025_12_14_0023.abf]
[2025_12_14-0035.tif, 2025_12_14_0029.abf]
[2025_12_14-0036.tif, 2025_12_14_0030.abf]
[2025_12_14-0037.tif, 2025_12_14_0031.abf]
[2025_12_14-0038.tif, 2025_12_14_0033.abf]
[2025_12_14-0039.tif, 2025_12_14_0034.abf]
[2025_12_14-0040.tif, 2025_12_14_0035.abf]
[2025_12_15-0008.tif, 2025_12_15_0004.abf]
[2025_12_15-0009.tif, 2025_12_15_0005.abf]
[2025_12_15-0010.tif, 2025_12_15_0006.abf]
[2025_12_15-0011.tif, 2025_12_15_0007.abf]
[2025_12_15-0012.tif, 2025_12_15_0008.abf]
[2025_12_15-0013.tif, 2025_12_15_0009.abf]
[2025_12_15-0014.tif, 2025_12_15_0010.abf]
[2025_12_15-0019.tif, 2025_12_15_0013.abf]
[2025_12_15-0020.tif, 2025_12_15_0014.abf]
[2025_12_15-0021.tif, 2025_12_15_0015.abf]
[2025_12_15-0022.tif, 2025_12_15_0016.abf]
[2025_12_15-0023.tif, 2025_12_15_0017.abf]
[2025_12_15-0024.tif, 2025_12_15_0018.abf]
[2025_12_15-0025.tif, 2025_12_15_0019.abf]
[2025_12_15-0030.tif, 2025_12_15_0022.abf]
[2025_12_15-0031.tif, 2025_12_15_0023.abf]
[2025_12_15-0032.tif, 2025_12_15_0024.abf]
[2025_12_15-0036.tif, 2025_12_15_0028.abf]
[2025_12_15-0037.tif, 2025_12_15_0029.abf]
[2025_12_15-0041.tif, 2025_12_15_0033.abf]
[2025_12_15-0042.tif, 2025_12_15_0034.abf]
[2025_12_15-0043.tif, 2025_12_15_0035.abf]
[2025_12_18-0007.tif, 2025_12_18_0005.abf]
[2025_12_18-0008.tif, 2025_12_18_0006.abf]
[2025_12_18-0009.tif, 2025_12_18_0007.abf]
[2025_12_18-0010.tif, 2025_12_18_0008.abf]
[2025_12_18-0011.tif, 2025_12_18_0009.abf]
[2025_12_18-0023.tif, 2025_12_18_0019.abf]
[2025_12_18-0024.tif, 2025_12_18_0020.abf]
[2025_12_18-0025.tif, 2025_12_18_0021.abf]
[2025_12_18-0026.tif, 2025_12_18_0022.abf]
[2025_12_18-0027.tif, 2025_12_18_0023.abf]
[2026_01_08-0004.tif, 2026_01_08_0002.abf]
[2026_01_08-0005.tif, 2026_01_08_0003.abf]
[2026_01_08-0006.tif, 2026_01_08_0004.abf]
[2026_01_08-0010.tif, 2026_01_08_0008.abf]
[2026_01_08-0011.tif, 2026_01_08_0009.abf]
[2026_01_08-0012.tif, 2026_01_08_0010.abf]
[2026_01_08-0013.tif, 2026_01_08_0011.abf]
[2026_01_08-0014.tif, 2026_01_08_0012.abf]
[2026_01_08-0015.tif, 2026_01_08_0013.abf]
[2026_01_08-0016.tif, 2026_01_08_0014.abf]
[2026_01_08-0021.tif, 2026_01_08_0017.abf]
[2026_01_08-0022.tif, 2026_01_08_0018.abf]
[2026_01_08-0023.tif, 2026_01_08_0019.abf]
[2026_01_08-0024.tif, 2026_01_08_0020.abf]
[2026_01_08-0030.tif, 2026_01_08_0025.abf]
[2026_01_08-0031.tif, 2026_01_08_0026.abf]
[2026_01_08-0032.tif, 2026_01_08_0027.abf]
[2026_01_08-0033.tif, 2026_01_08_0028.abf]
[2026_01_08-0034.tif, 2026_01_08_0029.abf]
[2026_01_08-0035.tif, 2026_01_08_0030.abf]
[2026_01_08-0036.tif, 2026_01_08_0031.abf]
[2026_01_08-0037.tif, 2026_01_08_0032.abf]

Total 214 records picked
